Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
02-07-2019,1.4259,594,6.99,9172,0,3,94.44,1,5,11,17,30.31,0,0,6,847,35.9029,00:02:32,0.25
03-07-2019,1.3503,471,6.32,7451,1,3,100,0,14,10,15,26.13,0,0,-4,636,24.4187,00:02:18,0.262
04-07-2019,1.3316,591,6.83,9093,2,3,100,0,8,9,15,30.7,0,0,1,787,33.5781,00:02:33,0.242
05-07-2019,1.2885,468,6.26,6912,3,0,87.5,2,8,12,14,30.7,0,0,4,603,26.1292,00:02:35,0.146
06-07-2019,1.3739,444,6.17,7650,8,5,100,0,6,9,22,28.57,0,0,3,610,24.3045,00:02:23,0.217
07-07-2019,1.3685,540,6.77,8571,2,2,100,0,9,12,12,28.57,0,0,3,739,29.7964,00:02:25,0.213
08-07-2019,1.2897,1108,8.76,12921,5,2,94.74,3,6,30,54,31.7,0,0,24,1429,55.1265,00:02:18,0.361
09-07-2019,1.2531,897,8.35,10713,3,4,97.22,1,9,19,35,34.74,0,0,10,1124,46.6616,00:02:29,0.251
10-07-2019,1.2319,1475,8.71,16464,8,7,97.18,2,5,22,69,32.2,0,0,17,1817,68.2389,00:02:15,0.332
11-07-2019,1.1858,2675,9.61,27017,3,13,98.26,2,4,43,113,34.79,0,0,39,3172,120.0917,00:02:16,0.752
12-07-2019,1.1785,3103,9.49,31141,7,17,97.41,3,9,57,113,36.39,0,0,48,3657,141.337,00:02:19,0.731
13-07-2019,1.1725,4598,9.11,48397,13,15,96.55,6,6,68,168,35.89,0,0,62,5391,202.093,00:02:14,1.743
14-07-2019,1.2037,5714,8.19,67264,13,25,96.02,7,16,83,169,35.31,0,0,67,6878,251.1171,00:02:11,2.506
15-07-2019,1.1786,6698,7.79,80078,12,37,97.26,6,9,84,213,34.64,0,0,75,7894,276.7091,00:02:06,2.419
16-07-2019,1.1386,7107,8.27,77346,5,36,95.34,9,17,95,184,36.03,0,0,78,8092,285.6912,00:02:07,2.993
17-07-2019,1.2356,6889,8.27,77506,58,21,97.49,11,22,71,427,37.37,1,1,49,8512,449.3147,00:03:10,5.826
